21,30,485,box,BATCH-8357752
27,19,319,unit,BATCH-2603551
35,32,273,L,BATCH-2348366
17,2,137,kg,BATCH-8009883
40,10,360,unit,BATCH-8673270
7,7,239,kg,BATCH-8163282
28,15,105,L,BATCH-9404215
15,20,357,unit,BATCH-8041569
11,13,349,L,BATCH-0709084
49,27,143,unit,BATCH-9408433
46,47,12,box,BATCH-2756537
14,30,462,box,BATCH-9010581
7,21,295,L,BATCH-2334079
19,25,451,L,BATCH-4131925
35,29,18,L,BATCH-4508874
1,10,65,L,BATCH-5218414
13,12,151,kg,BATCH-1117264
43,8,325,unit,BATCH-6172865
13,10,98,box,BATCH-0996162
13,39,453,L,BATCH-2627942
30,33,313,L,BATCH-8723733
26,30,405,kg,BATCH-0398250
30,45,428,kg,BATCH-1169870
15,17,170,L,BATCH-9725063
15,35,305,box,BATCH-7816749
42,23,334,box,BATCH-7734096
22,19,184,kg,BATCH-0367434
42,33,390,box,BATCH-4661591
28,34,397,L,BATCH-4615229
36,13,224,kg,BATCH-1547082
45,20,277,L,BATCH-1367617
