1,35,6,300.4,1,2024-08-29,1,2,0,35
2,20,7,305.74,1,2020-01-29,3,1,2,10
3,47,8,4195.41,1,2020-09-10,0,2,1,78
4,43,8,2408.95,1,2020-01-20,1,1,2,88
5,5,7,787.89,1,2024-07-17,2,0,1,55
6,20,8,3240.15,1,2023-11-30,2,2,2,35
7,7,7,1657.9,1,2024-12-29,0,1,1,82
8,45,7,1367.91,1,2024-12-23,1,0,0,59
9,37,7,1199.81,1,2024-11-08,0,2,1,53
10,13,6,3766.93,1,2022-06-05,2,2,2,38
11,2,8,4351.89,1,2020-04-30,2,2,1,84
12,2,8,2464.04,1,2020-12-21,2,1,2,42
13,12,7,267.42,1,2020-11-19,0,2,2,29
14,42,7,1239.92,1,2020-08-16,3,2,2,33
15,6,6,3832.5,1,2020-04-03,1,2,1,82
16,16,6,2667.79,1,2020-03-01,0,0,1,90
17,48,6,1795.17,1,2021-10-07,2,1,2,5
18,9,7,2074.73,1,2021-09-05,1,1,1,76
19,48,7,930.21,1,2022-01-14,3,0,1,29
20,8,7,4328.1,1,2022-01-06,2,0,2,13
21,50,6,1316.14,1,2024-12-07,3,2,1,94
22,35,6,3157.47,1,2023-09-16,1,2,2,77
23,16,7,4666.93,1,2021-02-28,0,2,2,36
24,35,6,159.6,1,2024-01-04,2,2,0,54
25,39,7,4643.14,1,2022-01-31,1,0,2,100
26,30,8,1297.42,1,2022-05-23,2,1,2,79
27,22,7,3972.1,1,2023-09-28,0,0,1,65
28,29,7,798.34,1,2021-05-29,1,2,1,72
29,8,7,2836.97,1,2020-10-27,1,0,0,93
30,13,8,3542.64,1,2020-08-04,2,2,2,57
31,40,6,2319.87,1,2021-11-15,1,1,0,18
32,23,8,4303.13,1,2021-07-23,3,0,0,69
33,45,6,3306.53,1,2025-01-21,3,1,1,55
34,20,6,4614.03,1,2022-01-16,1,2,1,74
35,28,6,1607.42,1,2020-03-23,1,2,0,63
36,41,6,4194.99,1,2023-12-11,2,1,0,14
37,15,7,440.41,1,2022-08-18,3,1,0,65
38,5,7,936.31,1,2022-07-15,1,1,1,76
39,17,6,824.73,1,2022-03-10,1,0,2,70
40,25,7,2012.41,1,2020-01-02,3,1,1,57
41,6,6,1561.88,1,2024-04-27,1,1,1,56
42,24,6,176.24,1,2025-01-10,3,1,0,87
43,30,6,4575.01,1,2020-10-29,1,0,1,36
44,25,7,3127.58,1,2020-06-23,3,0,2,12
45,17,7,3716.8,1,2020-08-06,1,1,2,59
46,45,7,167.37,1,2023-07-25,2,0,2,36
47,40,7,528.59,1,2021-09-18,0,0,1,47
48,23,7,2088.24,1,2020-12-23,0,0,1,23
