1,16,8,2025-02-15,1,
2,19,13,2025-01-19,1,
3,19,13,2025-01-14,1,
4,12,6,2025-01-09,1,20
5,12,11,2025-01-11,2,
6,16,6,2025-01-14,2,97
7,16,6,2025-01-22,0,
8,4,8,2025-01-04,1,
9,20,13,2025-02-16,0,
10,1,11,2025-01-15,0,92
11,14,6,2025-01-07,1,41
12,17,18,2025-02-11,1,
13,17,6,2025-02-03,1,48
14,16,8,2025-01-12,0,12
15,4,18,2025-01-19,0,
16,19,18,2025-01-13,2,
17,4,18,2025-02-02,2,
18,1,18,2025-01-14,0,
19,5,18,2025-01-04,0,45
20,14,7,2025-01-12,2,
21,14,18,2025-01-05,1,41
22,14,8,2025-02-03,2,
23,17,11,2025-01-23,2,
24,17,6,2025-01-10,0,
25,17,18,2025-01-16,2,
26,16,8,2025-01-04,2,
27,14,13,2025-01-22,0,74
28,1,6,2025-02-13,2,40
29,20,11,2025-02-09,2,
30,12,11,2025-02-15,1,7
31,1,8,2025-02-05,0,72
32,20,11,2025-01-19,2,85
33,4,18,2025-02-14,0,
34,17,13,2025-01-21,2,
35,16,11,2025-01-06,0,69
36,20,8,2025-01-19,0,89
37,4,11,2025-01-11,0,35
38,19,18,2025-01-29,2,
39,12,11,2025-02-02,1,40
40,19,8,2025-02-01,0,43
41,5,18,2025-01-07,0,89
42,19,6,2025-01-09,0,31
43,5,8,2025-01-27,1,
44,19,8,2025-02-11,2,
45,4,8,2025-02-11,2,63
46,20,8,2025-02-13,2,66
47,14,6,2025-02-13,1,13
48,4,18,2025-01-11,2,22
49,12,7,2025-01-18,0,
50,16,6,2025-01-10,0,83
51,16,6,2025-01-25,1,80
52,14,7,2025-01-14,1,75
53,1,8,2025-01-28,0,
54,12,8,2025-01-08,2,94
55,1,8,2025-01-07,1,
56,20,8,2025-01-02,0,
57,4,6,2025-02-15,0,
58,5,13,2025-02-10,2,62
59,5,6,2025-01-29,1,9
60,17,18,2025-02-02,2,83
61,20,8,2025-01-22,2,
62,16,8,2025-01-07,1,
63,19,8,2025-02-10,2,
64,1,8,2025-01-21,1,15
65,14,18,2025-01-13,1,68
66,4,7,2025-01-08,2,53
67,17,8,2025-01-10,0,
68,16,8,2025-01-31,2,12
69,20,8,2025-01-20,0,90
70,14,8,2025-01-09,2,43
71,19,13,2025-01-10,2,
72,16,18,2025-01-24,2,71
73,17,11,2025-02-02,2,
74,17,8,2025-01-31,0,89
75,20,8,2025-02-16,1,29
76,17,18,2025-02-08,0,
77,1,6,2025-02-10,2,31
78,14,8,2025-01-30,1,71
79,14,11,2025-02-08,0,29
80,16,8,2025-01-11,2,43
81,20,8,2025-01-14,2,4
82,16,13,2025-01-28,0,
83,20,8,2025-01-22,0,5
84,12,13,2025-01-14,1,
