7,4,412,unit
25,27,323,kg
41,48,303,unit
31,16,11,box
6,45,166,box
20,22,155,box
21,2,468,L
24,16,419,kg
22,25,119,box
22,23,45,unit
3,29,440,kg
9,22,314,box
48,46,25,unit
14,12,146,kg
31,45,465,L
3,12,371,L
11,47,363,L
7,49,106,box
40,8,436,kg
50,40,206,kg
2,26,418,L
10,41,129,unit
2,32,38,L
17,12,484,L
5,24,461,L
47,30,468,L
32,13,148,unit
13,41,186,unit
4,23,299,kg
25,28,11,kg
1,30,460,kg
44,37,341,box
39,8,225,box
1,8,454,kg
24,45,495,kg
16,3,292,unit
31,18,218,kg
11,14,302,box
42,48,169,box
35,18,77,kg
4,28,183,L
36,50,320,box
27,6,293,kg
26,15,69,kg
8,40,420,unit
28,37,298,L
3,20,234,L
4,11,14,unit
20,48,480,L
44,43,397,box
45,27,28,kg
24,46,207,L
21,28,430,kg
13,20,237,kg
11,35,100,unit
2,46,497,unit
34,18,424,box
7,16,316,kg
5,42,94,L
14,40,395,L
45,39,136,unit
48,1,230,unit
22,9,132,unit
12,13,288,box
40,22,236,L
6,33,144,unit
43,2,325,box
13,19,493,unit
2,13,265,box
39,21,251,L
17,23,315,L
35,39,6,kg
13,16,226,unit
28,7,275,box
48,28,228,kg
27,44,384,unit
37,35,154,unit
3,45,418,kg
30,36,460,unit
1,16,394,unit
50,20,41,unit
37,44,170,kg
38,27,53,box
14,13,413,box
22,6,125,box
43,43,197,box
4,44,293,L
16,27,326,unit
47,19,99,box
49,45,415,kg
48,29,359,kg
47,44,300,L
9,30,445,box
11,22,190,unit
28,34,500,box
43,15,202,box
23,43,297,box
9,25,465,unit
32,41,422,unit
30,25,204,box
20,50,334,kg
