1,69,20,224.06,1,2023-07-02,0,1
2,68,14,484.66,1,2022-03-29,2,0
3,18,14,146.38,1,2022-01-26,2,1
4,73,19,153.51,1,2024-08-29,2,0
5,89,1,458.54,1,2020-09-03,0,2
6,27,12,466.92,1,2023-07-25,0,2
7,53,5,128.05,1,2020-11-25,3,1
8,4,4,336.95,1,2020-04-24,0,0
9,3,20,72.17,1,2020-02-24,1,0
10,74,1,337.38,1,2023-12-22,2,1
11,12,19,409.1,1,2024-07-05,1,0
12,36,17,36.37,1,2024-12-26,1,0
13,21,16,50.98,1,2022-10-01,1,2
14,32,12,53.53,1,2022-06-23,0,0
15,2,20,23.11,1,2022-02-09,0,1
16,24,1,174.29,1,2022-09-11,3,0
17,27,5,77.07,1,2020-08-07,1,2
18,11,20,249.9,1,2024-09-30,0,1
19,7,19,322.83,1,2022-05-31,3,2
20,85,12,401.74,1,2022-09-26,0,0
21,49,20,233.86,1,2021-12-09,2,1
22,49,14,461.03,1,2022-11-04,2,1
23,49,4,285.73,1,2024-11-02,0,0
24,47,19,449.88,1,2021-04-26,3,2
25,67,17,473.7,1,2020-02-18,3,1
26,35,14,305.74,1,2024-09-13,0,2
27,11,20,414.84,1,2021-07-27,0,1
28,24,14,68.31,1,2023-06-10,1,0
29,66,17,307.92,1,2023-03-25,1,2
30,75,16,370.92,1,2021-11-15,2,0
31,29,16,212.67,1,2020-12-17,2,0
32,11,19,433.83,1,2020-04-29,1,0
33,7,20,496.43,1,2020-09-11,3,2
34,61,14,284.13,1,2020-07-04,2,1
35,78,17,217.49,1,2020-10-02,1,2
36,96,14,107.7,1,2022-09-29,3,2
37,93,17,232.62,1,2023-01-30,2,2
38,63,1,255.36,1,2020-01-12,0,0
39,98,17,255.97,1,2022-12-05,1,0
40,76,5,94.34,1,2020-07-09,1,0
41,97,14,16.64,1,2024-07-13,0,1
42,86,20,439.21,1,2024-12-15,3,2
43,17,20,277.72,1,2020-03-26,2,2
44,52,1,334.82,1,2024-12-11,2,2
45,2,20,82.5,1,2023-12-30,1,1
46,65,14,439.35,1,2022-01-28,3,1
47,85,14,151.43,1,2020-07-15,3,2
48,24,19,365.71,1,2024-10-12,0,2
49,88,12,354.66,1,2024-07-24,3,0
50,84,5,100.89,1,2022-11-29,2,2
51,51,4,26.6,1,2023-11-14,0,0
52,45,17,323.81,1,2021-06-01,1,0
53,92,12,285,1,2021-07-05,1,1
54,70,20,154.96,1,2023-03-28,1,1
55,16,17,469.39,1,2025-01-17,0,2
56,93,20,293.23,1,2022-11-11,3,1
57,78,1,118,1,2022-03-14,1,2
58,97,4,285.72,1,2022-03-08,3,0
59,55,12,256.62,1,2024-01-13,2,2
60,68,17,322.43,1,2022-04-18,3,2
61,9,17,487.53,1,2021-07-25,2,0
62,76,1,108.55,1,2023-07-21,0,0
63,61,16,36.6,1,2022-08-03,0,2
64,82,19,239.44,1,2021-04-05,2,2
65,100,1,405.41,1,2021-09-25,2,2
66,59,5,201.13,1,2021-09-01,0,0
67,20,14,165.61,1,2020-06-22,2,1
68,32,1,127.33,1,2023-11-11,2,2
69,95,4,458.77,1,2020-11-21,3,2
70,67,17,264.13,1,2022-04-16,0,2
71,27,5,404.12,1,2020-12-22,2,2
72,100,4,437.03,1,2023-05-04,1,1
73,97,4,265.67,1,2022-05-20,2,2
74,71,5,156.91,1,2023-03-04,0,1
75,99,12,119.76,1,2024-05-23,1,0
76,42,14,171.84,1,2023-03-31,1,2
77,27,5,254.4,1,2024-12-30,3,0
78,67,1,303.45,1,2021-08-22,1,1
79,73,19,81.34,1,2020-07-04,0,2
80,54,12,197.26,1,2020-08-20,1,1
81,63,17,295.47,1,2020-07-08,0,2
82,33,14,189.87,1,2021-12-18,3,0
83,15,1,342.27,1,2020-04-07,2,2
84,24,1,269.03,1,2023-04-10,1,1
85,11,14,273.26,1,2020-07-07,0,0
86,95,12,294.95,1,2021-07-15,3,2
87,50,16,204.61,1,2021-11-22,1,0
88,81,20,390.18,1,2020-09-24,1,1
89,45,16,373.14,1,2021-01-13,2,1
90,12,1,428.94,1,2024-05-31,3,0
91,5,4,30.86,1,2024-08-26,3,1
92,12,4,473.36,1,2021-07-19,2,0
93,100,4,129.32,1,2022-08-07,2,1
94,8,1,23.04,1,2021-07-10,2,2
95,25,19,323.46,1,2022-07-05,3,0
96,29,12,478.21,1,2024-05-24,0,0
97,40,4,472.7,1,2024-08-09,2,2
98,30,16,454.48,1,2022-06-02,0,2
99,12,20,121.3,1,2022-09-27,2,2
100,27,1,314.74,1,2021-08-12,3,2
